tig00000032_pilon	CP003354.1	98.474	2818	36	7	25862	28676	4118	1305	0.0	4959
tig00000032_pilon	CP003354.1	95.866	387	16	0	23003	23389	1965	2351	1.98e-178	627
tig00000032_pilon	CP003354.1	84.916	537	79	2	24003	24538	85	620	7.36e-153	542
tig00000032_pilon	CP003354.1	78.913	460	93	4	29068	29525	1007	550	8.13e-83	309
tig00000032_pilon	CP003354.1	90.640	203	14	4	23762	23959	3912	4114	1.78e-69	265
tig00000032_pilon	CP003353.1	88.072	1660	189	7	26703	28357	2870	1215	0.0	1960
tig00000032_pilon	CP003353.1	98.454	388	5	1	23003	23389	1556	1943	0.0	682
tig00000032_pilon	CP003353.1	85.258	407	60	0	26128	26534	3436	3030	3.60e-116	420
tig00000032_pilon	CP003353.1	100.000	94	0	0	25738	25831	3541	3448	3.09e-42	174
tig00000032_pilon	CP003351.1	97.941	340	6	1	30337	30675	2211978	2211639	9.32e-167	588
tig00000032_pilon	CP003351.1	99.381	323	1	1	30337	30658	975872	976194	1.21e-165	584
tig00000032_pilon	CP003351.1	99.379	322	2	0	30337	30658	2448101	2447780	1.21e-165	584
tig00000032_pilon	CP003351.1	99.379	322	1	1	30337	30658	154763	155083	4.34e-165	582
tig00000032_pilon	CP003351.1	99.071	323	2	1	30337	30658	49760	49438	5.61e-164	579
tig00000032_pilon	CP003351.1	99.071	323	2	1	30337	30658	303816	304138	5.61e-164	579
tig00000032_pilon	CP003351.1	99.068	322	3	0	30337	30658	1410168	1410489	5.61e-164	579
tig00000032_pilon	CP003351.1	99.071	323	2	1	30337	30658	1796847	1796525	5.61e-164	579
tig00000032_pilon	CP003351.1	99.065	321	3	0	30337	30657	1029113	1028793	2.02e-163	577
tig00000032_pilon	CP003351.1	100.000	312	0	0	30337	30648	1297843	1298154	2.02e-163	577
tig00000032_pilon	CP003351.1	99.684	316	0	1	30337	30651	1703272	1702957	2.02e-163	577
tig00000032_pilon	CP003351.1	98.176	329	6	0	30337	30665	1863636	1863308	7.26e-163	575
tig00000032_pilon	CP003351.1	99.682	314	1	0	30337	30650	1979251	1979564	7.26e-163	575
